player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
Air Force,,2018-19,0.0,0,0,0,0,0,0,0,0,0,15,25,12,0.0,0,0,0,0,0,0,0,0,0,25,15,3
Aj Atwater,Aquinas College,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,1,4,1,4,0,0,0,0,0,0,1,0
Aj Clark,Trinity University (TX),2018-19,20.0,1,1,1,1,0,0,1,1,0,0,1,1,17.78,2,4,0,1,0,0,2,0,0,0,3,1
Aj Hodges,Corban University,2018-19,20.0,0,1,0,1,0,0,3,0,0,0,1,2,17.4,2,5,1,1,0,2,1,0,0,0,3,2
Aj Lancaster,,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ajani Kennedy,UC Riverside,2018-19,0.0,27,54,10,24,3,5,14,6,2,13,29,13,17.62,29,53,12,22,9,15,6,6,2,10,38,14
Ajare Sanni,Pacific,2018-19,0.0,19,62,9,29,5,6,11,7,1,0,10,10,14.93,17,52,10,28,10,15,8,2,0,3,10,5
Ajay Sanders,Coastal Carolina,2018-19,20.0,42,114,29,80,13,18,22,13,1,21,50,19,20.0,41,99,21,64,20,30,15,10,4,26,50,18
Ajiri Ogemuno-Johnson,Rider,2018-19,0.0,12,22,0,1,3,8,1,0,3,11,9,14,14.75,7,11,0,0,9,11,2,2,3,11,5,3
Akiean Frederick,Kent State,2018-19,20.0,29,64,2,12,11,17,9,10,6,30,31,9,20.0,40,62,1,5,15,17,12,10,8,26,29,13
Akiem Daschner,Texas State,2018-19,20.0,0,4,0,1,1,4,3,1,1,3,8,2,14.77,5,14,2,7,1,4,2,4,0,3,10,4
Akil McClain,IU-Kokomo,2018-19,20.0,2,4,1,1,0,0,0,1,0,0,0,0,14.92,2,4,1,1,0,0,1,0,0,0,2,1
Akim Mitchell,Hampton,2018-19,20.0,55,104,20,43,18,19,21,13,2,23,51,17,19.05,57,109,13,38,31,40,14,19,0,30,58,11
Akim-Jamal Jonah,San Diego,2018-19,20.0,1,2,0,0,1,3,2,0,1,3,3,2,14.93,0,5,0,0,0,1,1,0,1,3,2,1
Ako Adams,Rice,2018-19,20.0,43,118,31,82,14,15,40,10,0,2,35,33,17.73,63,141,39,97,49,55,36,7,1,2,41,36
Akoy Agau,Louisville,2018-19,20.0,5,13,0,0,9,13,0,1,1,7,9,6,14.9,2,11,0,0,6,8,1,0,2,9,7,3
Akron,,2018-19,0.0,0,0,0,0,0,0,0,0,0,18,28,0,0.0,0,0,0,0,0,0,0,0,0,19,29,5
Akuwovo Ogheneyole,Howard,2018-19,20.0,19,47,0,3,13,18,3,3,8,27,45,14,20.0,26,37,0,0,13,18,3,3,9,27,30,7
Akwasi Yeboah,Stony Brook,2018-19,17.68,81,212,29,98,41,55,28,14,7,22,79,38,20.0,94,210,32,98,48,60,16,13,7,24,99,38
Al Ervin,SE Oklahoma State,2018-19,15.0,2,3,0,1,0,0,5,0,0,0,4,2,20.0,0,1,0,0,0,0,2,0,0,0,0,1
